GENE	DRUG	PHENOTYPE	RECOMMENDATION	ACTION_CATEGORY	EVIDENCE_LEVEL	CPIC_STRENGTH	CPIC_GUIDELINE_URL	PMID	NOTES
CYP2C19	Clopidogrel	Ultrarapid Metabolizer	Standard clopidogrel dosing per prescribing information. Enhanced platelet inhibition possible — monitor for bleeding, particularly in patients with high bleeding risk.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Clopidogrel	Normal Metabolizer	Standard clopidogrel dosing per prescribing information.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Clopidogrel	Intermediate Metabolizer	Consider alternative antiplatelet therapy (e.g., prasugrel or ticagrelor) if clinically feasible. If clopidogrel is used, be aware of reduced efficacy; platelet function testing may be warranted.	choose_alternative	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Clopidogrel	Poor Metabolizer	Use alternative antiplatelet therapy (prasugrel or ticagrelor). Clopidogrel is essentially contraindicated — absent CYP2C19 activity prevents formation of the active thiol metabolite. Do not use clopidogrel in ACS or PCI settings.	contraindicated	A	Strong	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Omeprazole	Ultrarapid Metabolizer	Increased dose may be required for H. pylori eradication (use 40 mg BID) or severe erosive oesophagitis. Consider alternative PPI with less CYP2C19 dependence (e.g., rabeprazole or pantoprazole) for long-term use.	adjust_dose	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Omeprazole	Normal Metabolizer	Standard omeprazole dosing per prescribing information.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Omeprazole	Intermediate Metabolizer	Standard omeprazole dose is appropriate. Slightly increased exposure may improve acid suppression in GERD — no dose adjustment required.	use_as_normal	A	Moderate	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Omeprazole	Poor Metabolizer	Initiate at 50% of standard dose. Poor metabolizers have 5-10x higher omeprazole AUC; significantly increased risk of adverse effects (headache, diarrhoea, elevated liver enzymes). Titrate cautiously.	adjust_dose	A	Strong	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Voriconazole	Ultrarapid Metabolizer	Avoid voriconazole if clinically feasible — subtherapeutic plasma levels are likely at standard dosing due to ultra-rapid clearance. Use alternative antifungal (e.g., isavuconazole, liposomal amphotericin B, or echinocandin). If no alternative, use therapeutic drug monitoring (TDM) with significantly increased dose.	choose_alternative	A	Strong	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
CYP2C19	Voriconazole	Normal Metabolizer	Standard voriconazole dosing per prescribing information. TDM recommended for critically ill patients.	use_as_normal	A	Strong	https://cpicpgx.org/guidelines/guideline-for-clopidogrel-and-cyp2c19/	21792837,23698643,27401886	
